path,occt_valid,solid_count,shell_count,solid_volume_mm3,xmin_mm,ymin_mm,zmin_mm,x_size_mm,y_size_mm,z_size_mm_or_error
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Speaker Plates/25-Watt Speaker Plate FaitalPRO 3FE25 3in.step,True,1,1,92248.105317,-44.600000,-55.000000,0.400000,89.200000,13.500000,136.600000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Speaker Plates/25-Watt Speaker Plate GRS 3FR3 and Visaton FRS8-4 3.3in.step,True,1,1,100606.059053,-44.600000,-55.000000,0.400000,89.200000,13.500000,136.600000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Speaker Plates/25-Watt Speaker Plate Tectonic TEBM46C20N-4 v5.step,True,1,1,104694.600989,-44.600000,-55.000000,0.400000,89.200000,13.500000,136.600000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Squircle Top/Lock Ring.step,True,1,1,30605.625037,-55.000000,-55.000000,142.000000,110.000000,110.000000,12.295000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Squircle Top/PCB Spacer.step,True,1,1,878.068601,-43.598349,-29.600000,144.800000,87.196698,57.500000,5.200000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Squircle Top/Top Plate Combined MM.step,True,7,7,40191.257375,-55.000000,-55.000000,141.895000,110.000000,110.000000,16.000000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Squircle Top/Top Plate MM Buttons.step,True,4,4,20.520274,-17.100000,-14.400000,157.495000,35.100000,32.400000,0.400000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Squircle Top/Top Plate MM Diffuser Ring.step,True,1,1,6379.073626,-44.800000,-44.800000,152.695000,89.600000,89.600000,5.200000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Squircle Top/Top Plate Snap-In Diffuser Ring.step,True,1,1,5218.718384,-44.400000,-44.400000,152.895000,88.800000,88.800000,5.000000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Squircle Top/Top Plate.step,True,2,2,33516.636449,-55.000000,-55.000000,141.895000,110.000000,110.000000,16.000000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Wire Covers/Wire Cover 1.5mm.step,True,1,1,930.970059,-1.649999,-0.600000,-10.497500,13.150000,8.100000,11.000000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Wire Covers/Wire Cover 1mm.step,True,1,1,950.216137,-1.649999,-0.600000,-10.497500,13.150000,8.100000,11.000000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Wire Covers/Wire Cover 2.5.step,True,1,1,869.481609,-1.649999,-0.600000,-10.497500,13.150000,8.100000,11.000000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Wire Covers/Wire Cover 2mm.step,True,1,1,904.058550,-1.649999,-0.600000,-10.497500,13.150000,8.100000,11.000000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Wire Covers/Wire Cover 3mm.step,True,1,1,827.239237,-1.649999,-0.600000,-10.497500,13.150000,8.100000,11.000000
reference-assets/official/Satellite1-Enclosures/OEM Enclosures/Satellite1.1 Smart Speaker Enclosure Kit/Geometry Files/STEP/Sat1.x - Top Plate multi material.step,True,6,6,92533.105508,-55.000000,-55.000000,-8.600000,110.000000,110.000000,16.150000
reference-assets/official/Satellite1-Enclosures/OEM Enclosures/Satellite1.1 Smart Speaker Enclosure Kit/Geometry Files/STEP/Sat1.x - Top Plate single material - LED Diffuser.step,True,1,1,1044.813070,-43.394550,-43.394550,5.550000,86.789101,86.789101,2.000000
reference-assets/official/Satellite1-Enclosures/OEM Enclosures/Satellite1.1 Smart Speaker Enclosure Kit/Geometry Files/STEP/Sat1.x - Top Plate single material.step,True,1,1,92005.439257,-55.000000,-55.000000,-8.190591,110.000000,110.000000,16.150000
reference-assets/official/Satellite1-Enclosures/OEM Enclosures/Satellite1.1 Smart Speaker Enclosure Kit/Geometry Files/STEP/Sat1.x large - Chamber back - Wifi pocket + Bass port.step,True,1,1,385231.234006,-55.000000,-5.982615,-173.500000,110.000000,60.982616,172.489178
reference-assets/official/Satellite1-Enclosures/OEM Enclosures/Satellite1.1 Smart Speaker Enclosure Kit/Geometry Files/STEP/Sat1.x large - Chamber front - FPH Woofer +Tweeter + LD2450 pocket.step,True,1,1,322885.170132,-55.000000,-55.000000,-173.500000,110.000000,55.000004,172.489178
reference-assets/official/Satellite1-Enclosures/OEM Enclosures/Satellite1.1 Smart Speaker Enclosure Kit/Geometry Files/STEP/Sat1.x large - Screwing guide.step,True,24,24,3811.802341,-22.050000,-0.000000,-21.500000,60.100000,5.400000,12.000000
reference-assets/official/Satellite1-Enclosures/OEM Enclosures/Satellite1.1 Smart Speaker Enclosure Kit/Geometry Files/STEP/Sat1.x small - Chamber with 3525 speaker.step,True,1,1,150274.147805,-55.000000,-55.000592,-24.514591,110.000000,110.003847,23.813178
reference-assets/official/Satellite1-Enclosures/assets/Core R2024.12.06.step,True,392,865,5027.010976,-32.500000,-15.874888,-0.075000,65.488472,31.124888,10.970000
reference-assets/official/Satellite1-Enclosures/assets/Core R2025.03.18.step,True,400,933,5083.485781,-32.500000,-15.924888,-0.075000,65.488472,31.174888,10.970000
reference-assets/official/Satellite1-Enclosures/assets/Hat R2024.12.06.step,True,769,910,13587.698251,-43.998545,-42.999272,-5.850000,87.997090,87.226164,16.319998
reference-assets/official/Satellite1-Enclosures/assets/Hat R2025.03.18.step,True,737,737,12371.195038,-43.998545,-42.999272,-6.900000,87.997090,87.226164,13.550000
reference-assets/official/Satellite1-Hardware/core/rev4.1core3D.step,True,78,78,4747.518239,-32.500000,-15.250000,0.000000,65.000000,30.500000,10.895000
reference-assets/official/Satellite1-Hardware/core/rev5.1core3D.step,True,157,157,5079.493432,-0.000000,-0.674888,0.000000,65.488472,31.174888,10.895000
reference-assets/official/Satellite1-Hardware/hat/rev4.1hat3D.step,True,627,627,11379.805113,-43.998545,-42.999272,-5.885000,87.997090,87.226164,12.480000
reference-assets/official/Satellite1-Hardware/hat/rev6.1hat3D.step,True,737,737,11836.394711,106.001455,-143.998544,-6.935000,87.997090,87.226164,13.530000
reference-assets/official/Satellite1-Hardware/shim/rev1shim3D.step,True,8,8,11760.331175,-44.000000,-44.000000,-8.625000,88.000000,88.000000,16.020000
reference-assets/official/Satellite1-Hardware/shoe/rev1shoe3D.step,True,115,115,16130.762168,-43.998544,-42.999271,-14.185000,87.997088,85.998541,21.580000
