frequency_hz,spl_1v_db,sealed_spl_1v_db,impedance_magnitude_ohm,impedance_phase_deg,driver_excursion_1v_mm,pr_excursion_each_1v_mm,maximum_spl_db,limiting_factor
20.0,38.41818114785763,50.08255450347061,5.206005966618802,30.42740239791874,0.8456437794069223,0.20427698225853433,53.129588610953974,driver_xmax
20.138772629520556,38.45920708398095,50.19114965917445,5.2195769891260495,30.619533704945088,0.844684764943565,0.2044168597537091,53.18047049456352,driver_xmax
20.27850815117631,38.498723794608686,50.29970300707007,5.233381696948414,30.812642595676156,0.8437158105144087,0.20455936589785262,53.22995667841019,driver_xmax
20.419213246120933,38.53667848801042,50.4082132183041,5.247424953226464,31.006728795500745,0.842736835139145,0.2047045766384915,53.27799558383527,driver_xmax
20.560894641866188,38.57301599452485,50.516678953833804,5.261711752136849,31.201791874268377,0.8417477579377225,0.20485256994131126,53.324533262482696,driver_xmax
20.70355911260353,38.60767862170137,50.6250988645523,5.276247223508767,31.397831240421468,0.8407484981404821,0.20500342585494985,53.36951325150503,driver_xmax
20.847213479528037,38.64060599842543,50.73347159141349,5.291036637643749,31.594846134847437,0.8397389750979479,0.20515722657808544,53.41287641775919,driver_xmax
20.991864611164555,38.671734907023975,50.84179576555692,5.306085410349423,31.792835624433163,0.8387191082902417,0.2053140565289182,53.45456078998846,driver_xmax
21.137519423696084,38.70099910224162,50.950070008432355,5.321399108198557,31.991798595302836,0.8376888173360582,0.20547400241714248,53.494501377882436,driver_xmax
21.284184881294486,38.728329115857804,51.058292931924456,5.336983454025401,32.191733745718835,0.8366480220011621,0.20563715331851634,53.53262997678533,driver_xmax
21.431867996453427,38.7536520455814,51.166463138477184,5.35284433267208,32.39263957862412,0.8355966422063424,0.2058036007521402,53.56887495669004,driver_xmax
21.580575830323685,38.776891326707876,51.2745792212184,5.368987796998566,32.59451439380244,0.8345345980347684,0.2059734387605557,53.60316103400378,driver_xmax
21.73031549305077,38.797966484854044,51.38263976408436,5.385420074170604,32.79735627963166,0.8334618097386868,0.20614676399279222,53.63540902440088,driver_xmax
21.88109414411485,38.81679286789372,51.49064334194435,5.402147572240886,33.00116310440268,0.8323781977453882,0.2063236757904819,53.665535574887045,driver_xmax
22.03291899267313,38.83328135500055,51.598588520725514,5.419176887039742,33.20593250717589,0.8312836826623781,0.20650427627718232,53.69345287298219,driver_xmax
22.185797297904458,38.84733804045904,51.706473857537716,5.436514809392609,33.411661888142625,0.8301781852816674,0.20668867045104353,53.71906833068378,driver_xmax
22.339736369356466,38.858863889627344,51.814297900798785,5.454168332682718,33.61834839845967,0.8290616265831134,0.20687696628096805,53.742284240595126,driver_xmax
22.494743567295043,38.86775436411939,51.92205919035999,5.472144660778591,33.82598892951957,0.8279339277367147,0.20706927480641896,53.76299740128754,driver_xmax
22.650826303056235,38.87389901291621,52.029756257631796,5.490451216347247,34.03458010161816,0.8267950101037737,0.2072657102410375,53.78109870860707,driver_xmax
22.807992039400652,38.877181025707884,52.13738762571012,5.509095649575374,34.24411825197817,0.8256447952368247,0.20746639008024173,53.796472709228645,driver_xmax
22.966248290870226,38.87747674430312,52.244951809502936,5.528085847322194,34.45459942208255,0.8244832048782326,0.2076714352129863,53.808997112295884,driver_xmax
23.125602624147522,38.87465512741214,52.35244731585745,5.5474299427294165,34.66601934426998,0.8233101609573358,0.20788097003787034,53.81854225445366,driver_xmax
23.28606265841754,38.86857716350192,52.459872643687724,5.567136325315285,34.878373427539714,0.8221255855860282,0.2080951225837949,53.82497051297395,driver_xmax
23.447636065731974,38.859095225728574,52.56722628410307,5.587213651581625,35.091656742508775,0.8209294010526489,0.20831402463537613,53.82813566098143,driver_xmax
23.610330571376103,38.84605236215444,52.67450672053695,5.607670856164785,35.30586400546111,0.8197215298140409,0.20853781186333523,53.827882157988086,driver_xmax
23.77415395423807,38.82928151354405,52.781712428876666,5.628517163563483,35.52098956142189,0.8185018944856404,0.20876662396009663,53.82404436803289,driver_xmax
23.939114047180873,38.80860464998279,52.888841877593826,5.6497621004789025,35.73702736618608,0.8172704178294397,0.2090006047808377,53.816445696672204,driver_xmax
24.105218737416855,38.783831816354265,52.99589352787562,5.671415508804818,35.95397096722356,0.8160270227396604,0.20923990249024643,53.80489763685945,driver_xmax
24.272475966884812,38.75476007532214,53.10286583375698,5.693487559308324,36.17181348337802,0.8147716322259584,0.20948466971525678,53.78919871236161,driver_xmax
24.440893732629764,38.72117233486199,53.20975724225369,5.7159887660444815,36.39054758326788,0.813504169393979,0.20973506370404724,53.76913330576099,driver_xmax
24.610480087185234,38.68283604554525,53.31656619349647,5.738930001551526,36.61016546229257,0.8122245574230544,0.20999124649160122,53.74447035624679,driver_xmax
24.781243138958327,38.63950175065624,53.423291120866125,5.762322512876493,36.8306588181369,0.8109327195408345,0.21025338507214605,53.71496191028031,driver_xmax
24.9531910526174,38.59090146978279,53.529930451129786,5.786177938484896,37.05201882465864,0.809628578994617,0.21052165157880348,53.680341505777506,driver_xmax
25.12633204948242,38.536746893721215,53.63648260457829,5.810508326112085,37.27423610403435,0.8083120590191349,0.21079622347080282,53.640322367652836,driver_xmax
25.300674407918066,38.4767273653297,53.742945995164746,5.835326151618064,37.49730069702739,0.8069830828005344,0.21107728372862722,53.59459538936207,driver_xmax
25.476226463729574,38.41050761731191,53.84931903064447,5.860644338912479,37.721202031230646,0.8056415734362614,0.2113650210574837,53.542826871429725,driver_xmax
25.652996610561214,38.337725233775444,53.95560011271604,5.886476281021242,37.94592888712347,0.8042874538905587,0.2116596300995099,53.484655983809816,driver_xmax
25.830993300297685,38.25798779777057,54.061787637163846,5.912835862372076,38.171469361768445,0.802920646945241,0.21196131165515136,53.41969191428984,driver_xmax
26.01022504346819,38.17086968188431,54.16787999400201,5.939737482381946,38.3978108299576,0.8015410751454083,0.21227027291417003,53.347510660017896,driver_xmax
26.190700409653346,38.075908433407555,54.27387556761967,5.967196080436092,38.62493990260142,0.8001486607397155,0.21258672769676748,53.26765141367566,driver_xmax
26.372428027894973,37.97260069977533,54.37977273692791,5.995227162355289,38.85284238213491,0.7987433256148027,0.21291089670533653,53.17961249000311,driver_xmax
26.5554165871086,37.86039763421724,54.485569875508084,6.023846828455669,39.08150321469396,0.7973249912234515,0.2132430077873795,53.082846732617895,driver_xmax
26.739674836498935,37.73869971643217,54.591265351761756,6.053071803313956,39.31090643879446,0.7958935785060025,0.21358329621016706,52.97675633594992,driver_xmax
26.92521158597821,37.60685091962543,54.696857529062335,6.082919467359924,39.54103513021934,0.7944490078045351,0.2139320049477384,52.860687013636536,driver_xmax
27.112035706587367,37.46413215511494,54.80234476590822,6.113407890427966,39.77187134279343,0.792991198769272,0.21428938498088215,52.73392144459234,driver_xmax
27.30015613092028,37.3097539317484,54.90772541607779,6.14455586741062,40.00339604469485,0.7915200702566285,0.21465569561077225,52.59567193400382,driver_xmax
27.48958185355075,37.14284818421215,55.012997828786006,6.176382956168571,40.23558904991822,0.7900355402182769,0.21503120478696658,52.44507224333851,driver_xmax
27.680321931462636,36.962459259550286,55.118160348842835,6.2089095178649245,40.46842894446898,0.7885375255805628,0.21541618945052793,52.28116857869675,driver_xmax
27.87238548448286,36.767534117287404,55.22321131681342,6.242156759905606,40.70189300682655,0.7870259421135318,0.2158109358930563,52.10290979290992,driver_xmax
28.06578169571745,36.55691191582421,55.328149069180114,6.276146781683401,40.9359571221698,0.7855007042887949,0.21621574013247907,51.909136974065696,driver_xmax
28.260519811990676,36.32931335975813,55.432971938506334,6.310902623340252,41.17059568980777,0.7839617251253692,0.216630908306484,51.69857279512476,driver_xmax
28.456609144287057,36.08333052477698,55.53767825360226,6.34644831778108,41.40578152320389,0.7824089160225901,0.2170567570845394,51.46981134129025,driver_xmax
28.654059068196624,35.817418450597664,55.64226633969248,6.382808946193132,41.641485741920334,0.7808421865790895,0.21749361409949347,51.22130970561651,driver_xmax
28.852879024363165,35.529890751250825,55.74673451858548,6.420010697347299,41.87767765474098,0.7792614443967717,0.21794181839980428,50.95138360217375,driver_xmax
29.053078518935628,35.2189230925418,55.85108110884505,6.4580809309827645,42.11432463315592,0.7776665948686172,0.21840172092351384,50.65821084661599,driver_xmax
29.254667124022603,34.88257106003826,55.95530442596377,6.4970482456037235,42.35139197430603,0.7760575409490557,0.21887368499514095,50.3398492275214,driver_xmax
29.457654478150054,34.518813411223434,56.059402782538214,6.5369425510468915,42.58884275239228,0.7744341829055315,0.2193580868467336,49.994279762164034,driver_xmax
29.662050286722092,34.12563917745667,56.163374488446266,6.577795146211827,42.82663765744943,0.7727964180497772,0.21985531616439905,49.61949380238096,driver_xmax
29.867864322485055,33.701209519778594,56.267217851026395,6.619638802382563,43.06473482026782,0.7711441404471809,0.22036577666169543,49.21365489459589,driver_xmax
30.075106425994772,33.24414570583607,56.37093117525876,6.662507852609531,43.30308962211499,0.7694772406024832,0.22088988668135562,48.775386761300936,driver_xmax
30.283786506087043,32.75402734837017,56.474512763948454,6.7064382876652235,43.54165448776354,0.767795605119897,0.2214280798268911,48.30427154446823,driver_xmax
30.49391454035148,32.23223458095343,56.57796091791053,6.751467859136494,43.78037866016844,0.7660991163355697,0.22198080562571545,47.801691986608986,driver_xmax
30.705500575608458,31.683333414150844,56.68127393615712,6.797636190270797,44.01920795495173,0.7643876519201197,0.22254853022551288,47.272216792688724,driver_xmax
30.91855472838956,31.117261364200665,56.78445011608635,6.844984895254231,44.258084492648756,0.7626610844487731,0.22313173712567894,46.72578626503207,driver_xmax
31.133087185421246,30.552526657100415,56.887487753673334,6.893557707665952,44.49694640643675,0.7609192809364115,0.22373092794575516,46.18091151414342,driver_xmax
31.349108204111904,30.020233785119782,56.99038514366288,6.943400618927953,44.73572752280687,0.7591621023345826,0.22434662323288654,45.66870002251023,driver_xmax
31.566628113042352,29.567516965809357,57.09314057976429,6.994562027651354,44.97435701234796,0.7573894029872633,0.22497936331043858,45.23628911150682,driver_xmax
31.785657312459563,29.25662635746699,57.19575235484783,7.047092900871868,45.21275900747704,0.7556010300418584,0.22562970917002148,44.94593216541461,driver_xmax
32.00620627477402,29.154128516354753,57.298218761143175,7.101046948268635,45.450852183581055,0.7537968228115954,0.2262982434092878,44.86419909791085,driver_xmax
32.2282855450604,29.308739915271573,57.4005380904395,7.1564808105736795,45.688549299608596,0.751976612085102,0.2269855712179859,45.03980988069618,driver_xmax
32.451905741561745,29.728846050572322,57.50270863428752,7.213454263504649,45.92575669367342,0.750140219378563,0.22769232141487658,45.48115366142326,driver_xmax
32.677077556197226,30.3781400916549,57.604728684203145,7.27203043869369,46.16237372868909,0.7482874561253947,0.22841914753824216,46.15192742502678,driver_xmax
32.90381175507326,31.193506225468283,57.70659653187275,7.33227606324072,46.398292182436776,0.7464181227979032,0.2291667289928431,46.98901935109464,driver_xmax
33.132119178998295,32.10929927231159,57.808310469360286,7.39426171969307,46.6333955757698,0.7445320079548292,0.2299357722563039,47.926788443645904,driver_xmax
33.36201074400119,33.07253671161085,57.909868789315766,7.458062128446852,46.86755843186039,0.7426288872080993,0.23072701214803176,48.91225657210773,driver_xmax
33.59349744185307,34.04671610151977,58.01126978518543,7.523756454780715,47.10064545848541,0.7407085221014269,0.23154121316389206,49.90892590745397,driver_xmax
33.826590340592965,35.00935807750447,58.112511751423376,7.591428642973247,47.332510644312194,0.7387706588926752,0.23237917087998153,50.89432193879423,driver_xmax
34.06130058505689,35.94792906866647,58.21359298370447,7.661167780222643,47.56299625895762,0.7368150272310761,0.23324171342894154,51.85591620930974,driver_xmax
34.297639397410805,36.85628586153334,58.314511779138876,7.73306849338624,47.791931745239474,0.7348413387194853,0.23412970305235517,52.78757090142323,driver_xmax
34.535618077687126,37.73214414343488,58.415266436487556,7.807231381889425,48.019132490479784,0.7328492853508619,0.2350440377328429,53.687007403494874,driver_xmax
34.775248004325015,38.57543911751514,58.51585525637928,7.883763490523841,48.24439846193623,0.730838537807022,0.2359856529095316,54.554166950288284,driver_xmax
35.01654063471449,39.3873163796094,58.61627654152862,7.962778826266148,48.46751268938166,0.7288087436064937,0.23695552328060462,55.390201527650234,driver_xmax
35.25950750574412,40.169529667068375,58.71652859695502,8.044398923705348,48.68823957548652,0.726759525086896,0.2379546646966257,56.19687165172478,driver_xmax
35.50416023435271,40.9240898444893,58.81660973020291,8.128753464173412,48.90632301193199,0.724690477205744,0.23898413614828976,56.9761953879266,driver_xmax
35.75051051808472,41.65306543440607,58.91651825156266,8.215980954233334,49.12148427602908,0.7226011651418548,0.24004504185214268,57.7302489180205,driver_xmax
35.99857013564954,42.35847331520512,59.01625247429238,8.30622946979591,49.33341967897598,0.7204911216776289,0.24113853343764013,58.461057277902256,driver_xmax
36.24835094748474,43.04222251138584,59.11581071484049,8.399657472813368,49.541797932663314,0.7183598443403454,0.2422658122386599,59.170538191565626,driver_xmax
36.499864896323054,43.70608888148303,59.21519129306879,8.496434708236517,49.74625719704052,0.7162067922782465,0.2434281316922175,59.860476806981524,driver_xmax
36.75312400776343,44.35170747496365,59.31439253247616,8.596743189722668,49.94640176436833,0.7140313828445304,0.24462679984665262,60.532518105657516,driver_xmax
37.008140390846044,44.980574698139506,59.413412760422666,8.700778283440258,50.14179833006539,0.7118329878594332,0.24586318198091117,61.18816912642913,driver_xmax
37.264926238631205,45.59405563953888,59.51225030835397,8.80874990022626,50.331971792151755,0.7096109295172717,0.24713870333571913,61.828806354496095,driver_xmax
37.523493828782414,46.19339382633964,59.61090351202597,8.920883807299697,50.51640051230738,0.7073644759016569,0.24845485195639672,62.45568554794457,driver_xmax
37.78385552415333,46.7797218342092,59.70937071172954,9.037423071695747,50.69451096107565,0.7050928360679776,0.2498131816457266,63.069952424816115,driver_xmax
38.0460237733789,47.354071861990484,59.807650252515245,9.15862964852431,50.86567165749029,0.702795154647678,0.25121531502364725,63.6726533229653,driver_xmax
38.310011111470565,47.91738579412582,59.90574048441799,9.284786128018233,51.029186299077104,0.7004705059237462,0.25266294668847655,64.26474535649868,driver_xmax
38.57583016041556,48.4705245176407,60.003639762681296,9.416197656039339,51.184285961426056,0.6981178873211258,0.2541578464718521,64.84710583662954,driver_xmax
38.84349362978051,49.014276403123596,60.10134644798143,9.553194043135571,51.33012022692033,0.6957362122494213,0.25570186277646395,65.42054086752321,driver_xmax
39.113014317318985,49.54936494046158,60.198858906650784,9.696132077219636,51.465747079273854,0.693324302228176,0.2572969259818651,65.98579310917377,driver_xmax
39.384405109583454,50.076455564433715,60.29617551090084,9.845398054225651,51.59012137371181,0.6908808782171306,0.2589450518990216,66.54354874385777,driver_xmax
39.657678982541434,50.596161727439835,60.39329463904429,10.001410539350847,51.702081661317834,0.6884045510651048,0.2606483452486563,67.09444370506927,driver_xmax
39.93284900219587,51.109050285701926,60.490214675716345,10.164623368219848,51.80033510958468,0.6858938109814171,0.2624090031316314,67.63906923710887,driver_xmax
40.209928325209965,51.61564626674866,60.58693401209497,10.335528891837715,51.88344021881819,0.6833470159229836,0.2642293184514019,68.17797685520878,driver_xmax
40.488930199536085,52.11643708324162,60.68345104612004,10.514661460570249,51.9497869850202,0.6807623787783156,0.266111683238632,68.71168277359268,driver_xmax
